"For all samples, full population testing is appropriate and recommended if it is less work for us and the client and provides better assurance. Guidance was written to sample in case full population is not available or less efficient.
PA-28,CC 6.1,"CC 6.1: The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the entity's objectives.
",The company restricts privileged access to databases to authorized users with a business need.,• Complete and accurate list of users with access to all in-scope databases with creation/modified date of the list.,No exceptions noted,,
PA-29,CC 6.1,"CC 6.1: The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the entity's objectives.
",The company restricts privileged access to the firewall to authorized users with a business need.,"• List showing users with access to all in-scope firewalls, including creation/modification date for the list.",No exceptions noted,,
PA-30,CC 6.1,"CC 6.1: The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the entity's objectives.
",The company restricts privileged access to the operating system to authorized users with a business need.,• The complete and accurate list of users with access to all in-scope platforms including creation/modification date for the population.,No exceptions noted,,
PA-31,CC 6.1,"CC 6.1: The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the entity's objectives.
",The company restricts privileged access to the production network to authorized users with a business need.,"• Provide a complete and accurate system generated list showing the users with access to the production network, including their roles, to show that the production network is restricted to authorized users with a business need.",No exceptions noted,,
PA-32,"CC 6.1, CC 6.2, CC 6.3","CC 6.1: The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the entity's objectives.
CC 6.2: Prior to issuing system credentials and granting system access, the entity registers and authorizes new internal and external users whose access is administered by the entity. For those users whose access is administered by the entity, user system credentials are removed when user access is no longer authorized.
CC 6.3: The entity authorizes, modifies, or removes access to data, software, functions, and other protected information assets based on roles, responsibilities, or the system design and changes, giving consideration to the concepts of least privilege and segregation of duties, to meet the entity’s objectives.",The company ensures that user access to in-scope system components is based on job role and function or requires a documented access request form and manager approval prior to access being provisioned.,"• A complete and accurate list showing users, groups, roles, and permissions on each product in-scope for the audit or a complete and accurate list of users/access.",No exceptions noted,,
PA-33,"CC 6.1, CC 6.2, CC 6.3, CC 6.6","CC 6.1: The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the entity's objectives.
CC 6.2: Prior to issuing system credentials and granting system access, the entity registers and authorizes new internal and external users whose access is administered by the entity. For those users whose access is administered by the entity, user system credentials are removed when user access is no longer authorized.
CC 6.3: The entity authorizes, modifies, or removes access to data, software, functions, and other protected information assets based on roles, responsibilities, or the system design and changes, giving consideration to the concepts of least privilege and segregation of duties, to meet the entity’s objectives.
CC 6.6: The entity implements logical access security measures to protect against threats from sources outside its system boundaries.","The company requires authentication to the ""production network"" to use unique usernames and passwords or authorized Secure Socket Shell (SSH) keys.","• A system generated list of users with access to the production network to show that users with access to the ""production network""  authenticate with unique usernames.
• Screenshots of authentication configurations to show that users with access to the ""production network""  authenticate with unique passwords or authorized Secure Socket Shell (SSH) keys.",No exceptions noted,,
PA-34,CC 6.1,"CC 6.1: The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the entity's objectives.
",The company requires passwords for in-scope system components to be configured according to the company's policy.,"• Screenshots or similar showing password configurations for all in-scope systems in accordance with company policy.
• Documentation or a policy that includes the company's password configuration standards.",No exceptions noted,,
PA-35,CC 6.4,"CC 6.4: The entity restricts physical access to facilities and protected information assets (for example, data center facilities, back-up media storage, and other sensitive locations) to authorized personnel to meet the entity’s objectives.
","The company has processes in place for granting, changing, and terminating physical access to company data centers based on an authorization from control owners.","• Complete and accurate list of users with physical access, including the list creation/modification date.
• HR listing showing the terminated users during the period.",Not applicable,,
PA-36,"CC 7.1, CC 7.2","CC 7.1: To meet its objectives, the entity uses detection and monitoring procedures to identify (1) changes to configurations that result in the introduction of new vulnerabilities, and (2) susceptibilities to newly discovered vulnerabilities.
CC 7.2: The entity monitors system components and the operation of those components for anomalies that are indicative of malicious acts, natural disasters, and errors affecting the entity's ability to meet its objectives; anomalies are analyzed to determine whether they represent security events.","The company's formal policies outline the requirements for the following functions related to IT / Engineering: 
 - vulnerability management;
 - system monitoring.","• Provide the company's Operations Security Policy, ensure it outlines requirements for vulnerability management and system monitoring. 

",No exceptions noted,,
PA-37,"CC 7.2, A 1.1","CC 7.2: The entity monitors system components and the operation of those components for anomalies that are indicative of malicious acts, natural disasters, and errors affecting the entity's ability to meet its objectives; anomalies are analyzed to determine whether they represent security events.
A 1.1: The entity maintains, monitors, and evaluates current processing capacity and use of system components (infrastructure, data, and software) to manage capacity demand and to enable the implementation of additional capacity to help meet its objectives.","An infrastructure monitoring tool is utilized to monitor systems, infrastructure, and performance and generates alerts when specific predefined thresholds are met.","• Provide screenshots to show that CloudWatch is in place as a centralized monitoring tool, otherwise provide screenshots and/or reports showing that in-scope systems are covered by a centralized monitoring tool.
• Screenshots or similar showing configured alerting criteria.
• Screenshots showing predefined threshold criteria.",No exceptions noted,,
